store_number,name,address,postcode,city,state,phone,latitude,longitude,has_pharmacy
143,PLAZA SENTOSA JOHOR BAHRU,"LOT 5 & 6, GROUND FLOOR,BLOCK F, PLAZA SENTOSA",80150,Johor,Johor,07-333 2629,1.4927,103.768,false
145,"TAMAN DESA, TEBRAU JB","45, GROUND FLOOR,JLN HARMONIUM 23/14",81100,Johor,Johor,07-359 6471,1.55429,103.796,false
147,SQUARE ONE BATU PAHAT,"G1, G2, G3, GT1 & GT2,LEVEL 1, SQUARE ONE MALL",83000,Johor,Johor,07-432 7322,1.86596,102.949,false
148,"JALAN AH CHEONG, TELOK INTAN","NO. 17, GROUND FLOOR,JALAN AH CHEONG",36000,Perak,Perak,05-621 6146,4.02612,101.019,false
150,GUARDIAN GIANT SOUTHERN CITY,"GROUND FLOOR, SOUTHERN CITY,NO 3, JALAN SURIA 19, TAMAN SURIA,NO 3, JALAN SURIA 19,",81100,Johor,Johor,07-334 4129,1.50406,103.761,false
151,GUARDIAN GIANT SUPERSTORE SANDAKAN,"LOT A5,6&7,GIANT HYPERMARKET SANDAK,LOT 3, JLN IJM BDR UTAMA,BATU 6, OFF JALAN UTARA",9000,Sabah,Sabah,089-218 802,5.86651,118.057,false
153,JALAN CECAWI KOTA DAMASARA,"LOT NO. 43-1, GROUND FLOOR,JALAN CECAWI 6/19A,KOTA DAMANSARA",47810,Selangor,Selangor,03-6141 3602,3.15965,101.574,false
154,TAMAN KERAMAT PERMAI,"NO 15-G, JALAN AU1A/4B,TAMAN KERAMAT PERMAI",54200,Wil. Persekutuan,Kuala Lumpur,03-4256 5103,3.17743,101.738,false
158,"JALAN BUKIT LAGI, KANGAR","NO 32, GF & 1ST FLR,JALAN BUKIT LAGI",1000,Perlis,Perlis,04-976 3771,6.43528,100.194,false
160,"JALAN PEDADA, SIBU","NO 32, GROUND FLOOR,PUSAT PEDADA,JALAN PEDADA",96007,Sarawak,Sarawak,084-312 306,2.31141,111.846,false
161,GUARDIAN BERJAYA TIMES SQUARE (LG FLOOR),"NO LG-06 & LG-07,LOWER GROUND FLOOR,BERJAYA TIMES SQUARE",55100,Wil. Persekutuan,Kuala Lumpur,0321442908,3.14215,101.711,true
162,"JALAN NIAGA, KOTA TINGGI","NO 22 GROUND FLOOR,JALAN NIAGA 1,BANDAR KOTA TINGGI",81900,Johor,Johor,07-882 1719,1.73001,103.901,true
163,LANGKAWI FAIR SHOPPING MALL,"LOT GF2A PHASE 1, GROUND FLOOR,LANGKAWI FAIR SHOPPING MALL,JALAN PERSIARAN PUTRA",7000,Kedah,Kedah,04-966 0807,6.31011,99.8561,false
165,GUARDIAN TAMAN PUSAT PERDAGANGAN PONTIAN,"NO, 34 GROUND FLOOR,JALAN DELIMA,PONTIAN COMMERCIAL CENTRE",82000,Johor,Johor,076860809,1.47838,103.389,false
166,"JALAN KUNDANG, BATU PAHAT","NO 32 GROUND FLOOR,JALAN KUNDANG 1",83000,Johor,Johor,07-432 0779,1.8651,102.94,false
168,"AUTO CITY, PRAI","1820-G1 JALAN PERUSAHAAN AUTO CITY,NORTH-SOUTH HIGHWAY JURUINTERCHANGE,PRAI",13600,Pulau Pinang,Pulau Pinang,04-507 2863,5.33782,100.429,true
169,"JLN SULTAN ISMAIL, TERENGGANU","16A, GROUND FLOOR,,JALAN SULTAN ISMAIL,",20200,Terengganu,Trengganu,09-622 0276,5.33098,103.133,false
170,"QUEENSBAY MALL, PENANG","100-LG-72, Queensbay Mall,Persiaran Bayan Indah",11900,Pulau Pinang,Pulau Pinang,04-646 6508,5.33421,100.307,true
171,"FAJAR LAHAD DATU, SABAH","LOTS NO MLDS 6584 & MLDS 6585,GROUND FLOOR, AIRPORT PLAZA,FAJAR LAHD DATU",91100,Sabah,Sabah,089-883 812,5.02867,118.327,false
172,"WISMA MERDEKA, KOTA KINABALU","LOTS NO BG64-BG67 & BG72,GRD FLOOR WISMA MERDEKA PHASE 2,JALAN TUN RAZAK",88000,Sabah,Sabah,088-237 893,5.98582,116.075,false
173,"JALAN SIMPANG 3, KUCHING","NO 27, JALAN SIMPANG TIGA,PANOVEL COMMERCIAL CENTRE",93300,Sarawak,Sarawak,082-258 300,1.54067,110.356,false
174,"JALAN KEPONG, KL","NO 30&32 GRD FLOOR,JLN METRO PERDANA 8 TMN USAHAWAN,FORTUNE CENTRE JLN KEPONG",52100,Wil. Persekutuan,Kuala Lumpur,03-6259 5654,3.21482,101.643,false
175,"SHAH ALAM, SECTION 25","LOT NO. 8, GROUND FLOOR,JALAN MURNI 25/61,,SEKSYEN 25, TAMAN SRI MUDA,",40200,Selangor,Selangor,03-5121 8955,3.03247,101.536,false
176,SEMPORNA SEAFRONT RESORT,"25 GROUND FLOOR,SEMPORNA SEAFRONT RESORT TOWNSHIP,JALAN KASTAM",91307,Sabah,Sabah,089-784 766,4.47975,118.613,false
177,BANDAR LAHAD DATU,"Lot No.275, GF & 1st Floor,,Sri Perdana, Phase 3,,Jalan Silam,",91100,Sabah,Sabah,089863378,5.027153489842425,118.29426211217117,false
178,TAMAN SUNGAI KAPAR INDAH,"NO. 25, JALAN SUNGAI KAPAR INDAH 3K,JALAN KAPAR",42209,Selangor,Selangor,03-3290 1709,3.0948,101.384,false
179,TAMAN SRI ANDALAS,"NO. 49 GROUND FLOOR,JLN SRI SARAWAK,20A,TAMAN SRI ANDALAS",41200,Selangor,Selangor,03-3324 1310,3.01598,101.441,false
180,KAPAR TOWN,"NO. 200, GROUND FLOOR,JALAN BESAR/KU 13,,PEKAN KAPAR",42200,Selangor,Selangor,03-3250 2708,3.1383,101.372,false
181,DATARAN PAHLAWAN MELAKA,"LOT BW05 DATARAN PAHLAWAN,MELAKA MEGAMALL,JALAN MERDEKA, BANDAR HILIR",75000,Melaka,Melaka,06-281 7148,2.19052,102.251,false
182,BANDAR SUNGAI LONG,"13 JALAN SL 1/3,BANDAR SUNGAI LONG",43000,Selangor,Selangor,03-9074 0186,3.04065,101.794,false
183,"JALAN ISMAIL, MERSING","BLOCK E LOT NO 451,GROUND FLOOR, JALAN ISMAIL",86800,Johor,Johor,07-798 2584,2.42983,103.837,false
184,SUNWAY METRO,"UNIT 2-G, GROUND FLOOR,,JALAN PJS 11/28A, PJS 11,,SUNWAY METRO, BANDAR SUNWAY,",46150,Selangor,Selangor,03-5632 7471,3.07279,101.61,false
185,KLUANG PARADE JB,"LOT GROUND 21,22,23,24,25 & 25 (A),KLUANG PARADE,NO 2 JALAN SENTUL",86000,Johor,Johor,07-771 6364,2.03622,103.32,false
187,ALAMANDA PUTRAJAYA,"32 GROUND FLOOR,ALAMANDA PUTRAJAYA SHOPPING CENTRE,JALAN ALAMANDA PRECINCT 1",62000,Wil. Persekutuan,Kuala Lumpur,0388811387,2.93935,101.711,true
188,BIZ AVENUE SEREMBAN 2,"LOT NO 14G GROUND FLOOR,JALAN S2 B18,BIZ AVENUE SEREMBAN 2",70300,Negeri Sembilan,Negeri Sembilan,066016566,2.69815,101.913,false
190,PJ NEW TOWN,"NO 8, GROUND FLOOR,JALAN 52/18,NEW TOWN CENTRE",46200,Selangor,Selangor,03-7957 2986,3.09871,101.645,false
